SampleID,FGA,TPO,D1S1609,D2S441,D8S1108,D21S2052,D18S51,Population
GUI_3,"18.0,16.2",NA,NA,NA,NA,NA,"14.2,13.2",Guinean
GUI_4,"16.0,16.2",NA,NA,NA,NA,NA,"14.0,13.2",Guinean
GUI_5,"14.0,18.0",NA,NA,NA,NA,NA,"14.0,14.2",Guinean
GUI_6,"14.0,17.2",NA,NA,NA,NA,NA,"12.0,13.2",Guinean
GUI_7,"16.2,17.2",NA,NA,NA,NA,NA,"11.2,14.2",Guinean
GUI_8,"16.2,16.1",NA,NA,NA,NA,NA,"14.0,15.0",Guinean
GUI_9,"16.2,18.0",NA,NA,NA,NA,NA,"14.0,14.2",Guinean
GUI_10,"17.0,17.2",NA,NA,NA,NA,NA,"13.2,14.2",Guinean
MAG_1,"14.0,13.0",NA,NA,NA,NA,NA,"14.0,11.0",Maghrib
MAG_2,"14.0,16.0",NA,NA,NA,NA,NA,"13.2,15.0",Maghrib
MAG_3,"14.3,15.0",NA,NA,NA,NA,NA,"12.0,14.0",Maghrib
MAG_4,"16.0,13.0",NA,NA,NA,NA,NA,"11.0,11.2",Maghrib
MAG_5,"16.1,13.0",NA,NA,NA,NA,NA,"12.2,11.0",Maghrib
MAG_6,"15.0,15.0",NA,NA,NA,NA,NA,"13.0,14.0",Maghrib
MAG_7,"13.0,15.0",NA,NA,NA,NA,NA,"15.2,13.0",Maghrib
MAG_8,"16.1,16.0",NA,NA,NA,NA,NA,"11.0,12.0",Maghrib
MAG_9,"14.0,13.0",NA,NA,NA,NA,NA,"13.2,14.0",Maghrib
MAG_10,"14.0,15.0",NA,NA,NA,NA,NA,"11.2,13.0",Maghrib
MOR_1,"17.2,16.0",NA,NA,NA,NA,NA,"11.0,11.0",Moroccans
MOR_2,"16.0,16.2",NA,NA,NA,NA,NA,"10.0,10.2",Moroccans
MOR_3,"14.3,10.0",NA,NA,NA,NA,NA,"10.0,13.0",Moroccans
MOR_4,"16.0,14.0",NA,NA,NA,NA,NA,"10.2,12.2",Moroccans
MOR_5,"16.2,15.0",NA,NA,NA,NA,NA,"14.0,12.2",Moroccans
MOR_6,"16.0,14.0",NA,NA,NA,NA,NA,"12.0,11.0",Moroccans
MOR_7,"14.0,16.0",NA,NA,NA,NA,NA,"12.2,11.0",Moroccans
MOR_8,"16.0,14.3",NA,NA,NA,NA,NA,"12.0,12.0",Moroccans
MOR_9,"17.2,14.3",NA,NA,NA,NA,NA,"10.2,13.0",Moroccans
MOR_10,"14.3,16.0",NA,NA,NA,NA,NA,"13.0,11.0",Moroccans
TUN_1,"16.0,14.0",NA,NA,NA,NA,NA,"13.2,15.0",Tunisian
TUN_2,"17.0,19.2",NA,NA,NA,NA,NA,"12.2,14.0",Tunisian
TUN_3,"16.1,16.1",NA,NA,NA,NA,NA,"13.2,16.0",Tunisian
TUN_4,"19.0,16.0",NA,NA,NA,NA,NA,"11.2,12.0",Tunisian
TUN_5,"18.0,19.2",NA,NA,NA,NA,NA,"13.0,15.0",Tunisian
TUN_6,"18.0,15.0",NA,NA,NA,NA,NA,"11.2,11.2",Tunisian
TUN_7,"17.0,16.1",NA,NA,NA,NA,NA,"11.2,12.0",Tunisian
TUN_8,"17.0,16.1",NA,NA,NA,NA,NA,"16.0,17.2",Tunisian
TUN_9,"16.0,16.1",NA,NA,NA,NA,NA,"15.0,13.0",Tunisian
TUN_10,"16.0,18.0",NA,NA,NA,NA,NA,"14.0,13.2",Tunisian
ARA_1,"17.2,16.1",NA,NA,NA,NA,NA,"14.2,12.2",Arabs
ARA_2,"14.3,16.2",NA,NA,NA,NA,NA,"11.0,14.0",Arabs
ARA_3,"16.1,16.2",NA,NA,NA,NA,NA,"13.0,11.0",Arabs
ARA_4,"17.2,14.3",NA,NA,NA,NA,NA,"15.0,13.0",Arabs
ARA_5,"14.0,14.3",NA,NA,NA,NA,NA,"13.0,11.2",Arabs
ARA_6,"16.1,14.3",NA,NA,NA,NA,NA,"13.0,13.0",Arabs
ARA_7,"16.0,16.2",NA,NA,NA,NA,NA,"14.2,14.0",Arabs
ARA_8,"16.0,16.0",NA,NA,NA,NA,NA,"13.0,13.0",Arabs
ARA_9,"17.0,16.1",NA,NA,NA,NA,NA,"15.0,11.2",Arabs
ARA_10,"14.0,16.2",NA,NA,NA,NA,NA,"12.0,15.0",Arabs
EMI_1,"16.2,18.0",NA,NA,NA,NA,NA,"13.2,11.2",Emirati
EMI_2,"16.1,15.0",NA,NA,NA,NA,NA,"14.2,13.2",Emirati
EMI_3,"19.0,18.0",NA,NA,NA,NA,NA,"15.0,11.0",Emirati
EMI_4,"18.2,14.0",NA,NA,NA,NA,NA,"11.0,13.2",Emirati
EMI_5,"18.0,18.2",NA,NA,NA,NA,NA,"18.0,11.2",Emirati
EMI_6,"16.1,18.2",NA,NA,NA,NA,NA,"12.2,12.2",Emirati
EMI_7,"17.2,16.2",NA,NA,NA,NA,NA,"12.2,15.0",Emirati
EMI_8,"14.0,19.0",NA,NA,NA,NA,NA,"14.0,13.2",Emirati
EMI_9,"16.1,18.0",NA,NA,NA,NA,NA,"15.2,11.0",Emirati
EMI_10,"16.1,15.0",NA,NA,NA,NA,NA,"11.0,12.0",Emirati
IRA_1,"13.0,17.0",NA,NA,NA,NA,NA,"12.0,12.0",Iranian
IRA_2,"15.0,17.2",NA,NA,NA,NA,NA,"11.2,14.0",Iranian
IRA_3,"14.3,15.0",NA,NA,NA,NA,NA,"13.2,12.0",Iranian
IRA_4,"17.0,16.0",NA,NA,NA,NA,NA,"13.0,14.2",Iranian
IRA_5,"17.0,17.0",NA,NA,NA,NA,NA,"13.0,12.2",Iranian
IRA_6,"16.0,16.1",NA,NA,NA,NA,NA,"10.0,13.0",Iranian
IRA_7,"16.1,15.0",NA,NA,NA,NA,NA,"13.0,13.2",Iranian
IRA_8,"14.3,17.0",NA,NA,NA,NA,NA,"13.2,12.0",Iranian
IRA_9,"18.0,15.0",NA,NA,NA,NA,NA,"13.0,11.2",Iranian
IRA_10,"16.1,16.1",NA,NA,NA,NA,NA,"14.2,12.2",Iranian
JOR_1,"16.0,15.0",NA,NA,NA,NA,NA,"11.0,16.0",Jordanian
JOR_2,"18.0,20.2",NA,NA,NA,NA,NA,"15.2,13.0",Jordanian
JOR_3,"17.0,14.0",NA,NA,NA,NA,NA,"14.0,11.2",Jordanian
JOR_4,"17.0,16.1",NA,NA,NA,NA,NA,"12.2,13.2",Jordanian
JOR_5,"17.0,17.0",NA,NA,NA,NA,NA,"15.2,13.0",Jordanian
JOR_6,"20.0,16.1",NA,NA,NA,NA,NA,"12.0,12.2",Jordanian
JOR_7,"16.0,17.0",NA,NA,NA,NA,NA,"12.2,11.2",Jordanian
JOR_8,"16.1,16.1",NA,NA,NA,NA,NA,"14.2,14.0",Jordanian
JOR_9,"16.0,16.1",NA,NA,NA,NA,NA,"12.2,14.0",Jordanian
JOR_10,"18.0,15.0",NA,NA,NA,NA,NA,"11.0,12.0",Jordanian
KUR_1,"16.0,18.2",NA,NA,NA,NA,NA,NA,Kurds
KUR_2,"16.2,19.2",NA,NA,NA,NA,NA,NA,Kurds
KUR_3,"14.0,20.2",NA,NA,NA,NA,NA,NA,Kurds
KUR_4,"18.2,16.2",NA,NA,NA,NA,NA,NA,Kurds
KUR_5,"15.0,18.0",NA,NA,NA,NA,NA,NA,Kurds
KUR_6,"16.0,16.0",NA,NA,NA,NA,NA,NA,Kurds
KUR_7,"17.2,16.2",NA,NA,NA,NA,NA,NA,Kurds
KUR_8,"16.0,17.2",NA,NA,NA,NA,NA,NA,Kurds
KUR_9,"17.2,19.2",NA,NA,NA,NA,NA,NA,Kurds
KUR_10,"18.2,16.0",NA,NA,NA,NA,NA,NA,Kurds
OMA_1,"15.0,18.0",NA,NA,NA,NA,NA,"15.0,11.2",Omani
OMA_2,"19.2,16.0",NA,NA,NA,NA,NA,"11.0,13.0",Omani
OMA_3,"18.2,16.0",NA,NA,NA,NA,NA,"11.0,12.0",Omani
OMA_4,"17.2,16.0",NA,NA,NA,NA,NA,"11.2,14.2",Omani
OMA_5,"17.0,16.2",NA,NA,NA,NA,NA,"12.0,12.0",Omani
OMA_6,"19.0,15.0",NA,NA,NA,NA,NA,"11.2,14.0",Omani
OMA_7,"15.0,18.0",NA,NA,NA,NA,NA,"12.0,13.2",Omani
OMA_8,"19.0,18.0",NA,NA,NA,NA,NA,"11.0,13.0",Omani
OMA_9,"16.0,18.0",NA,NA,NA,NA,NA,"14.2,13.2",Omani
OMA_10,"16.0,15.0",NA,NA,NA,NA,NA,"13.2,12.2",Omani
SAU_1,"16.1,14.0",NA,NA,NA,NA,NA,"15.0,12.2",Saudi
SAU_2,"16.1,14.0",NA,NA,NA,NA,NA,"11.0,11.0",Saudi
SAU_3,"15.0,13.0",NA,NA,NA,NA,NA,"11.2,12.2",Saudi
SAU_4,"14.3,14.3",NA,NA,NA,NA,NA,"11.0,14.0",Saudi
SAU_5,"14.0,16.1",NA,NA,NA,NA,NA,"12.2,13.0",Saudi
SAU_6,"15.0,16.0",NA,NA,NA,NA,NA,"13.2,11.2",Saudi
SAU_7,"14.3,16.1",NA,NA,NA,NA,NA,"13.0,11.2",Saudi
SAU_8,"15.0,16.0",NA,NA,NA,NA,NA,"12.2,11.0",Saudi
SAU_9,"16.2,16.0",NA,NA,NA,NA,NA,"13.2,13.2",Saudi
SAU_10,"16.0,16.0",NA,NA,NA,NA,NA,"10.2,10.2",Saudi
SHE_1,"16.2,16.0",NA,NA,NA,NA,NA,"11.0,12.0",Sheikh
SHE_2,"14.3,16.0",NA,NA,NA,NA,NA,"12.0,12.0",Sheikh
SHE_3,"16.2,18.2",NA,NA,NA,NA,NA,"12.0,13.0",Sheikh
SHE_4,"18.0,18.2",NA,NA,NA,NA,NA,"12.0,11.2",Sheikh
SHE_5,"15.0,19.2",NA,NA,NA,NA,NA,"11.2,13.0",Sheikh
SHE_6,"13.0,18.2",NA,NA,NA,NA,NA,"13.0,11.2",Sheikh
SHE_7,"18.0,16.0",NA,NA,NA,NA,NA,"12.2,11.0",Sheikh
SHE_8,"16.2,13.0",NA,NA,NA,NA,NA,"11.0,11.0",Sheikh
SHE_9,"16.2,18.2",NA,NA,NA,NA,NA,"11.0,12.0",Sheikh
SHE_10,"18.0,16.2",NA,NA,NA,NA,NA,"11.2,12.2",Sheikh
YEM_1,"15.0,16.2",NA,NA,NA,NA,NA,"14.0,12.0",Yemeni
YEM_2,"17.0,16.2",NA,NA,NA,NA,NA,"14.2,13.2",Yemeni
YEM_3,"15.0,14.3",NA,NA,NA,NA,NA,"13.2,10.2",Yemeni
YEM_4,"14.3,16.0",NA,NA,NA,NA,NA,"13.2,11.2",Yemeni
YEM_5,"14.0,14.0",NA,NA,NA,NA,NA,"13.2,11.2",Yemeni
YEM_6,"14.3,16.1",NA,NA,NA,NA,NA,"10.2,15.2",Yemeni
YEM_7,"16.0,16.0",NA,NA,NA,NA,NA,"10.2,13.2",Yemeni
YEM_8,"14.3,18.0",NA,NA,NA,NA,NA,"11.2,11.2",Yemeni
YEM_9,"16.1,14.3",NA,NA,NA,NA,NA,"15.0,14.0",Yemeni
YEM_10,"16.2,15.0",NA,NA,NA,NA,NA,"10.2,13.2",Yemeni
ALB_1,"18.2,13.0",NA,NA,NA,NA,NA,"13.0,12.0",Albanian
ALB_2,"13.0,14.0",NA,NA,NA,NA,NA,"13.0,13.2",Albanian
ALB_3,"13.0,16.1",NA,NA,NA,NA,NA,"11.2,13.0",Albanian
ALB_4,"15.0,15.0",NA,NA,NA,NA,NA,"11.0,11.2",Albanian
ALB_5,"15.0,18.0",NA,NA,NA,NA,NA,"12.0,12.2",Albanian
ALB_6,"16.1,19.0",NA,NA,NA,NA,NA,"14.2,14.0",Albanian
ALB_7,"15.0,16.1",NA,NA,NA,NA,NA,"12.2,10.2",Albanian
ALB_8,"17.0,15.0",NA,NA,NA,NA,NA,"12.0,11.2",Albanian
ALB_9,"17.0,16.1",NA,NA,NA,NA,NA,"13.0,11.2",Albanian
ALB_10,"15.0,18.2",NA,NA,NA,NA,NA,"13.0,13.2",Albanian
AND_1,"15.0,14.0",NA,NA,NA,NA,NA,"13.2,10.2",Andalusian
AND_2,"14.0,19.0",NA,NA,NA,NA,NA,"12.0,16.0",Andalusian
AND_3,"18.0,17.0",NA,NA,NA,NA,NA,"12.2,12.0",Andalusian
AND_4,"15.0,14.0",NA,NA,NA,NA,NA,"14.0,11.2",Andalusian
AND_5,"17.2,14.3",NA,NA,NA,NA,NA,"13.2,13.0",Andalusian
AND_6,"17.2,15.0",NA,NA,NA,NA,NA,"11.0,12.0",Andalusian
AND_7,"15.0,19.0",NA,NA,NA,NA,NA,"13.2,10.2",Andalusian
AND_8,"14.3,16.0",NA,NA,NA,NA,NA,"11.0,13.0",Andalusian
AND_9,"16.1,14.0",NA,NA,NA,NA,NA,"12.0,11.0",Andalusian
AND_10,"17.2,14.0",NA,NA,NA,NA,NA,"12.2,10.2",Andalusian
ARO_1,"18.2,15.0",NA,NA,NA,NA,NA,NA,Aromanian
ARO_2,"16.2,18.0",NA,NA,NA,NA,NA,NA,Aromanian
ARO_3,"16.1,16.0",NA,NA,NA,NA,NA,NA,Aromanian
ARO_4,"14.3,14.3",NA,NA,NA,NA,NA,NA,Aromanian
ARO_5,"13.0,14.3",NA,NA,NA,NA,NA,NA,Aromanian
ARO_6,"17.0,16.2",NA,NA,NA,NA,NA,NA,Aromanian
ARO_7,"15.0,16.2",NA,NA,NA,NA,NA,NA,Aromanian
ARO_8,"15.0,17.2",NA,NA,NA,NA,NA,NA,Aromanian
ARO_9,"14.0,17.2",NA,NA,NA,NA,NA,NA,Aromanian
ARO_10,"14.3,15.0",NA,NA,NA,NA,NA,NA,Aromanian
AUS_1,"17.2,18.2",NA,NA,NA,NA,NA,"14.0,14.0",Austrian
AUS_2,"14.0,17.2",NA,NA,NA,NA,NA,"11.0,12.0",Austrian
AUS_3,"19.0,16.0",NA,NA,NA,NA,NA,"12.0,11.0",Austrian
AUS_4,"16.1,16.1",NA,NA,NA,NA,NA,"12.2,14.0",Austrian
AUS_5,"16.0,15.0",NA,NA,NA,NA,NA,"12.2,13.2",Austrian
AUS_6,"14.0,18.0",NA,NA,NA,NA,NA,"14.0,12.0",Austrian
AUS_7,"18.2,18.0",NA,NA,NA,NA,NA,"11.2,10.2",Austrian
AUS_8,"16.0,16.0",NA,NA,NA,NA,NA,"13.0,13.0",Austrian
AUS_9,"19.2,17.0",NA,NA,NA,NA,NA,"11.2,11.0",Austrian
AUS_10,"14.0,18.2",NA,NA,NA,NA,NA,"13.0,14.0",Austrian
AZO_1,"17.2,14.3",NA,NA,NA,NA,NA,"13.2,11.2",Azorian
AZO_2,"16.2,14.0",NA,NA,NA,NA,NA,"11.2,14.0",Azorian
AZO_3,"14.0,14.3",NA,NA,NA,NA,NA,"12.0,12.0",Azorian
AZO_4,"16.1,16.2",NA,NA,NA,NA,NA,"12.0,13.2",Azorian
AZO_5,"14.3,16.0",NA,NA,NA,NA,NA,"13.2,12.2",Azorian
AZO_6,"13.0,14.3",NA,NA,NA,NA,NA,"14.0,14.0",Azorian
AZO_7,"16.0,14.3",NA,NA,NA,NA,NA,"14.0,14.0",Azorian
AZO_8,"14.3,16.2",NA,NA,NA,NA,NA,"11.2,11.0",Azorian
AZO_9,"14.3,14.0",NA,NA,NA,NA,NA,"14.0,11.0",Azorian
AZO_10,"16.0,13.0",NA,NA,NA,NA,NA,"11.2,11.2",Azorian
BAS_1,"13.0,14.0","109.0,117.0","162.0,180.0","132.0,135.0","256.0,252.0","121.0,129.0","12.2,13.2",Basque
BAS_2,"17.0,16.2","117.0,121.0","180.0,176.0","127.0,135.0","252.0,256.0","137.0,129.0","12.0,11.2",Basque
BAS_3,"14.0,14.0","117.0,109.0","176.0,176.0","131.0,127.0","256.0,256.0","129.0,117.0","12.0,10.2",Basque
BAS_4,"14.0,15.0","121.0,121.0","180.0,172.0","131.0,135.0","256.0,256.0","121.0,133.0","12.2,12.0",Basque
BAS_5,"14.0,16.0","117.0,109.0","172.0,162.0","132.0,132.0","256.0,252.0","141.0,121.0","11.2,11.0",Basque
BAS_6,"14.0,14.0","117.0,121.0","180.0,180.0","135.0,135.0","256.0,256.0","129.0,137.0","11.0,10.2",Basque
BAS_7,"16.0,15.0","121.0,109.0","162.0,176.0","135.0,132.0","260.0,252.0","117.0,121.0","11.0,11.0",Basque
BAS_8,"14.3,16.2","113.0,113.0","162.0,184.0","127.0,127.0","256.0,256.0","133.0,117.0","10.0,11.2",Basque
BAS_9,"16.2,16.1","109.0,121.0","172.0,162.0","136.0,135.0","260.0,260.0","145.0,133.0","12.2,10.2",Basque
BAS_10,"15.0,14.3","113.0,109.0","172.0,172.0","131.0,135.0","256.0,256.0","137.0,129.0","11.2,13.0",Basque
BAV_1,"16.0,16.0",NA,NA,NA,NA,NA,NA,Bavarian
BAV_2,"16.2,14.0",NA,NA,NA,NA,NA,NA,Bavarian
BAV_3,"14.3,17.2",NA,NA,NA,NA,NA,NA,Bavarian
BAV_4,"16.2,14.3",NA,NA,NA,NA,NA,NA,Bavarian
BAV_5,"14.0,17.2",NA,NA,NA,NA,NA,NA,Bavarian
BAV_6,"14.3,16.2",NA,NA,NA,NA,NA,NA,Bavarian
BAV_7,"16.0,14.3",NA,NA,NA,NA,NA,NA,Bavarian
BAV_8,"14.3,17.0",NA,NA,NA,NA,NA,NA,Bavarian
BAV_9,"17.2,16.2",NA,NA,NA,NA,NA,NA,Bavarian
BAV_10,"16.2,16.2",NA,NA,NA,NA,NA,NA,Bavarian
BEL_1,"18.2,18.0",NA,NA,NA,NA,NA,"13.0,13.0",Belarusian
BEL_2,"10.0,14.3",NA,NA,NA,NA,NA,"13.2,14.2",Belarusian
BEL_3,"14.3,16.1",NA,NA,NA,NA,NA,"12.0,13.2",Belarusian
BEL_4,"18.0,16.1",NA,NA,NA,NA,NA,"11.0,14.0",Belarusian
BEL_5,"14.3,13.0",NA,NA,NA,NA,NA,"13.0,11.2",Belarusian
BEL_6,"14.3,17.0",NA,NA,NA,NA,NA,"13.0,13.0",Belarusian
BEL_7,"14.3,16.1",NA,NA,NA,NA,NA,"11.0,15.0",Belarusian
BEL_8,"16.1,17.2",NA,NA,NA,NA,NA,"13.0,13.2",Belarusian
BEL_9,"17.0,16.0",NA,NA,NA,NA,NA,"13.0,15.2",Belarusian
BEL_10,"16.0,14.3",NA,NA,NA,NA,NA,"12.0,14.2",Belarusian
BEL_1,"14.3,16.1",NA,NA,NA,NA,NA,"13.0,10.2",Belgian
BEL_2,"14.3,14.3",NA,NA,NA,NA,NA,"11.0,10.2",Belgian
BEL_3,"19.2,16.2",NA,NA,NA,NA,NA,"13.0,12.2",Belgian
BEL_4,"18.0,13.0",NA,NA,NA,NA,NA,"14.2,11.2",Belgian
BEL_5,"14.3,14.0",NA,NA,NA,NA,NA,"14.2,15.2",Belgian
BEL_6,"14.3,14.3",NA,NA,NA,NA,NA,"13.0,16.2",Belgian
BEL_7,"14.3,19.2",NA,NA,NA,NA,NA,"11.2,12.2",Belgian
BEL_8,"17.0,16.1",NA,NA,NA,NA,NA,"15.2,13.0",Belgian
BEL_9,"16.2,16.2",NA,NA,NA,NA,NA,"12.2,11.2",Belgian
BEL_10,"14.3,16.2",NA,NA,NA,NA,NA,"12.0,13.0",Belgian
BOS_1,"17.2,10.0",NA,NA,NA,NA,NA,"12.0,13.2",Bosniaks
BOS_2,"18.2,13.0",NA,NA,NA,NA,NA,"13.0,11.2",Bosniaks
